date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-12-16,1880,23428,659023965.361773,0.00492060592884499,0.00003242903639858170119320788535,9.88568385708762E-7,32.1596808222551,515.43127025,391.222736958534,0.0000084249853886616,0.00659045590472508,1.23211221609877,-13.674719272235,99996718723.097889,991694,37382,194005921.826268,1278587.47305156,5202.19254791793,34.2848205949425,400,2.63618236189003,194468361.826268,1281635.16348014,0.0436682949566606,0.0227302442879285,0.0231061578141281
2016-12-17,1541,23420,650433305.977002,0.0037151161398551,0.00002416514645211141704415662362,9.75682005989209E-7,21.4636039044976,2005.97860121,436.257374632368,0.00000823755376972531,0.00650454670659473,4.27051601145242,-14.5864490366172,99996715423.313158,888205,14843,49849343.040444,324247.380099631,3376.8148649494,21.9646500085868,400,2.60181868263789,50122063.040444,326021.300077453,0.0431547826859445,0.0223646295282909,0.0223432893160524
2016-12-18,1115,23527,660888993.767107,0.00338355240167591,0.00002236226041655504835219923467,9.91366074549877E-7,14.4801674007507,2487.27259075,445.280004750823,0.00000835939567504384,0.00660910716366585,7.6112531928114,-14.700738788973,99996713232.371622,647527,8601,40203359.134852,265708.308861581,4680.52076907941,30.9340633446095,400,2.64364286546634,40257159.134852,266063.878826986,0.0419773176252379,0.0225441152339722,0.0210058331695413
2016-12-19,1526,23667,651228091.659926,0.00294391070721127,0.00001917220394519858487549790461,9.76874259377257E-7,9.5336276504013,96.20627139,419.026904394664,0.00000824179164231444,0.00651249506251505,6.27275244545064,-14.200478402063,99996711768.473752,497263,13090,1039399098.63509,6769081.49784362,79418.651538204,517.213576014157,600,3.90749703750903,1039590148.63509,6770325.71002531,0.0417298079735006,0.0226191413448503,0.0208491927610757
2016-12-20,1778,23937,646788528.47745,0.0032221086953823,0.00002084091530937981528843820394,9.70214723323E-7,18.4669474874037,138.8368855,405.059795631918,0.00000809169082407949,0.00646809815548667,6.95229429901518,-14.427911017067,99996708913.392236,886091,19048,720245981.845438,4658621.70667116,37816.3157205711,244.599641959527,500,3.23404907774334,720325181.845438,4659133.98004508,0.0416269362905307,0.022533068737962,0.0206891637538623
2016-12-21,2196,23814,647309850.288744,0.00546354994961492,0.00003536726288793062349226168586,9.70996784528986E-7,35.1671549145107,897.79517684,405.314697154582,0.00000780758036236119,0.00647331189685991,8.00100809214231,-13.0140810716102,99996703480.755052,994342,21091,111380308.182418,720999.47403317,5301.31872279257,34.3170895572993,500,3.23665594842995,111810113.182418,723781.735852999,0.0416099232907263,0.0224098251638753,0.0204366565561215
2016-12-22,2061,23636,642974080.019323,0.0105746894470111,0.00006799476125470890282232888507,9.64493022638041E-7,71.9406332398419,331.03631612,401.123663354172,0.00000749627177089421,0.00642995348425361,9.10608782928243,-12.0228779383148,99996692292.395227,1058032,22071,302071668.339965,1942306.77633686,13763.6042018923,88.499334793845,500,3.2149767421268,303776508.339965,1953268.81823495,0.0416090147906063,0.0213938063146737,0.0203972440543777
2016-12-23,1738,23502,607449562.733948,0.0115147528219684,0.00006994863805791584360725008897,9.11204597346603E-7,75.5079459648449,794.62349937,378.651638793995,0.00000663427030976037,0.00607469731564402,1.43522057021884,-13.5725475005775,99996679862.484395,1079477,24484,125841584.023352,764449.532663048,5152.85386470152,31.3020275398082,400,2.42987892625761,126162474.023352,766398.842284665,0.0417918225252847,0.0228349424465682,0.0214735985953533
2016-12-24,1427,23314,639763266.602174,0.00786611801214959,0.00005032620859517441181207326122,9.59676841564858E-7,52.7138349095553,1152.44874685,401.452335032923,0.00000718192080654588,0.00639784561043239,-2.40718180275486,-5.62868105960908,99996671623.174146,1047443,11395,86768866.638573,555133.812545788,7619.64604112093,48.7493189772341,300,1.91935368312972,86825866.638573,555498.489745582,0.0415196556188982,0.0250103220105084,0.0227592559101006
2016-12-25,1362,23581,640651420.832499,0.0059834588587602,0.00003833439246649777463902788353,9.6100917641575E-7,39.4401863515864,954.94511317,409.647653619703,0.00000715482291057861,0.00640672784277167,4.95510460560215,-6.12065690660923,99996665467.116433,1028846,11170,104714568.500357,670877.741555059,9514.13487021996,60.9544727729231,300,1.9220183528315,106272886.500357,680861.460873551,0.0415069153983535,0.0246386200701497,0.022178904574933
