date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-05-08,197,222574,3860150922.52965,0.000205285990795185,0.004207344893301230402245292504,0.00204950414638811,16.4549258777018,0,1866.91698426,,0.0034551130193499,20.4950414638811,,,188345602,7615,421,100885.9009738,2067660.72357903,246.078650530333,5043.39214599507,40.393,827.856209850549,103599.11187327,2123268.09346393,,,
2019-05-09,137,223652,3513281741.0967,0.000184041309045218,0.003432992136849039924169940037,0.00186533781717754,13.6633087046598,0,5734.66850385,,0.00303300035816916,18.6533781717754,,,188345602,7841,248,32843.32858536,612639.028522601,132.240005649032,2466.72283480911,5.13737707,95.8294372977175,32795.52140096,611747.26303266,,,
2019-05-10,113,224047,3669694979.27491,0.000172894288554379,0.003368644109105943641753526471,0.00194838368419928,11.8609959081626,0,2820.40277507,,0.00306471863530099,19.4838368419928,,,188345602,6869,192,66779.68255624,1301124.43928585,347.728912385781,6775.09339416817,4.129766065,80.4636882060586,66763.95117807,1300817.93168029,,,
2019-05-11,121,230352,4060420984.08223,0.000238318749670265,0.00513775974477696427261770627,0.00215583530539897,19.47724719245,0,11828.54086454,,0.00294308657869037,21.5583530539897,,,188345602,7391,224,15922.97851079,343273.192406702,84.0540187964732,1812.06621282106,0.8118666,17.5025067955422,18828.10021041,405902.831671917,,,
2019-05-12,92,230321,3917087197.02825,0.000209987984886643,0.004367191154955834875392576695,0.00207973382730129,12.1364242196227,0,64873.82263817,,0.00299560234658095,20.7973382730129,,,188345602,5511,119,2903.26042679,60380.0891906034,23.3581181779832,485.786685168528,0.513,10.6690345340556,2779.61606318,57808.6155350549,,,
2019-05-13,119,230376,4414619589.46171,0.000178850579826847,0.004192066418891931784214455495,0.00234389311063484,20.8219939026374,0,6592.8533617,,0.00300541279761166,23.4389311063484,,,188345602,9996,157,28568.14669868,669606.822306415,187.807983938662,4402.0183967605,0.5875,13.7703720249797,29485.85347837,691116.888291398,,,
2019-05-14,145,230519,4441394742.18366,0.0002937382411931,0.00692666813644689697194183209,0.00235810907980939,26.9378123826428,0,17144.62474943,,0.00296410279953244,23.5810907980939,,,188345602,7609,211,10985.69404421,259054.648736595,50.82826574109,1198.58594955029,0.1475,3.47821089271885,10724.76407137,252901.635355111,,,
2019-05-15,529,226602,5083532808.4194,0.00522574736578679,0.1410452800617474118996008949,0.0168690320959134,310.017525575738,0,1963.50795605,,0.00328542566053305,26.9904513534614,,,188345602,3147,1190,95923.01442924,2589005.45462978,102.736675248445,2772.90923550953,7.0065,189.108597408027,122256.64354565,3299761.99025634,,,
2019-05-16,990,227410,4954990185.05764,1.57862610328346,41.53044597051615491224988728,0.0164424803806198,158230.999147667,0,1.5758177,,0.00334618786747871,26.3079686089917,,,188345602,4159,3278,119522456.44390356,3144393032.19579,36486.7453848972,959892.152230148,17.815473425,468.688915619226,119603551.37169293,3146526475.01042,,,
2019-05-17,629,232314,4813021644.38437,0.374766061060612,9.576847796347269164554818843,0.0159713765322762,25914.9501369153,0,184.0238596,,0.00348771381063705,25.5542024516419,,,188345602,3030,2332,1023484.68512442,26154334.8498244,456.671486998623,11669.8756326552,21.309680905,544.551900026258,1064957.90768079,27214149.9753519,,,
2019-05-18,673,232526,5434353095.0522,0.0037935229971456,0.1094548703117043748081479782,0.0180331828741487,345.111206092802,0,270.34674109,,0.00396443279783601,28.8530925986379,,,188345602,3404,2925,696681.60687901,20101418.9150479,268.083624974222,7735.04165555975,45.54599788,1314.14289432901,784144.6030496,22624996.8425123,,,
2019-05-19,827,232589,5534522454.23394,0.000661371319570561,0.01943435036380410072821089193,0.0183655816603364,117.674991452841,0,83.63410215,,0.00357492094559592,29.3849306565382,,20.7971764741038,188345602,6146,5859,2252019.17823228,66175427.3895497,413.790699132495,12159.2110003288,50.001,1469.27591775757,2424399.70621729,71240817.2509266,,0.0566328174009362,
2019-05-20,4567,232250,5529573083.27072,0.19628282961106,5.762599390696314641768813508,0.00293586525225618,29781.1136511198,0,201.27899066,,0.00367850392388319,29.3586525225618,,17.744179642689,188345602,7999,6280,935743.97099274,27472182.094458,170.469898724599,5004.76652221179,0.68158,20.0102703863277,1070550.96399048,31429933.7594901,,0.0562351351400991,
2019-05-21,801,231989,6124298038.09385,0.000339786862842915,0.01104860424337877223898931884,0.00325162784427207,88.6098060318919,0,263.53830454,,0.00407277786470458,32.5162784427207,,34.3771377969961,188345602,13383,2619,714680.17648646,23238739.6161265,299.901844383013,9751.69187744353,13.60060653,442.241108919365,785442.93043911,25539681.0270246,,0.058801933188609,
2019-05-22,761,231715,5903605620.04886,0.373847199811402,11.71806724664651970911606226,0.00313445366250116,62761.9681730429,0,310.63654504,,0.00408775909701929,31.3445366250116,,31.2463688701355,188345602,8353,2323,606321.45511072,19004865.0562483,281.419151661425,8820.95290623123,9.9843,312.953257025103,653736.68930949,20491073.6011751,,0.058489610573975,
2019-05-23,641,231736,5967934318.9897,0.255635971141053,8.100102519733651631794481873,0.00316860826885127,32724.4141797286,0,343.00394858,,0.00401218079942094,31.6860826885127,,38.9898926920569,188345602,6216,1803,549106.22102481,17399025.1241689,351.113457113217,11125.4100351389,10.70622536,339.238342038812,633057.56317513,20059114.2933555,,0.0584895235396631,
2019-05-24,796,233765,6420676235.45589,0.293055500633641,9.990222594037783257418946157,0.00340898654774848,177416.363047421,0,349.06168671,,0.00426811532451513,34.0898654774848,,47.8217204276486,188345602,34600,2196,539576.84033862,18394101.9019099,280.948584416749,9577.49944885674,9.52321475,324.645109740699,616963.09137918,21032188.7896894,,0.0583529899926092,
2019-05-25,779,235673,6639813358.10904,0.000160122245668492,0.005644845509692708633487040404,0.00352533496275057,142.046892405839,0,257.0961202,,0.00437300109877265,35.2533496275057,,60.7942116128695,188345602,51040,1958,732588.2703207,25826190.4266253,425.322615635582,14994.0468734864,10.9975,387.698712528494,832781.68141447,29358343.7782864,,0.0584453309945389,
2019-05-26,776,235403,6367477451.35539,0.000147392785041641,0.00498296867715085274457399701,0.00338074124574217,163.496185265953,0,307.58208674,,0.00387187949736996,33.8074124574217,,51.0607716675024,188345602,66509,2199,612342.55869422,20701717.4470085,304.000799759827,10277.4804248665,16.51383707,558.29010108015,668497.75867186,22600179.4542815,,0.0590382661115327,
2019-05-27,964,235097,6355415747.57697,0.190710797362673,6.435225414988417273527493869,0.00337433721843793,168873.185340083,0,125.54905955,,0.00382717347039744,33.7433721843793,,53.9782117188599,188345602,51629,3078,1500175.33123928,50620974.5438315,518.456354486764,17494.4657308034,22.1767105,748.316996226732,1595808.65911026,53847965.5194128,,0.0591108642657261,
