date,AdrActCnt,CapMrktCurUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-10-29,87,213621309.697761,0,1618.18656311,452.061067205413,0.0000341082366600935,0.213621309697761,,-7.67233306517872,1000000000,102,102,617975.716024,132012.781818458,7097.28152964706,1516.13057565693,2500,534.053274244402,723922.716024,154645.318717007,0.0591925645360111,0.0148472698621104,0.02950094535946
2018-10-30,73,215177041.004832,0,1883.81193837,456.242375702141,0.0000343066464942233,0.215177041004832,,-4.0048725131456,1000000000,95,95,530838.551149,114224.268687534,6314.22979516842,1358.67728354889,2360,507.817816771404,599851.830541,129074.341937144,0.0591487940524218,0.0149303526775624,0.029261163871181
2018-10-31,66,213949005.247851,0,1832.30660431,453.62269277851,0.0000339261422439865,0.213949005247851,,-4.16368051306928,1000000000,82,82,545760.189723,116764.849695114,8036.03247487805,1719.30115413958,1425.796383,305.047717828834,658954.66294,140982.694639446,0.0591483316744085,0.0147933871548387,0.0284625918467873
2018-11-01,66,215075164.531894,0,2372.24638523,459.056381412664,0.0000339076032529009,0.215075164531894,,-4.61100554751935,1000000000,81,81,421541.373707,90663.0803070336,5458.76099896296,1174.04391999225,1052,226.259073087552,442159.640916,95097.5575193719,0.0591547298543071,0.0148514097279562,0.0284764162904289
2018-11-02,92,204393400.021141,0,438.99556589,431.761727736299,0.0000321972230822835,0.204393400021141,,-9.21063039654625,1000000000,109,109,2277927.336184,465593.313243749,21925.0179275046,4481.32895972713,3030,619.312002064057,2389826.954098,488464.856610258,0.0591367598162581,0.0161217542911944,0.0289109214393257
2018-11-03,43,211428799.586572,0,3276.66805734,446.515318244606,0.0000333882350999893,0.211428799586572,,-2.44445863022549,1000000000,38,38,305188.069863,64525.547259277,8962.57150710526,1894.94573495608,2771.820175,586.042612270092,340577.71727,72007.937928331,0.0592064766774945,0.0151597287764096,0.0222995392913675
2018-11-04,44,214930207.260673,0,1669.09014669,453.14596071625,0.0000334760249794936,0.214930207260673,,-5.10523679089815,1000000000,43,43,599128.813974,128770.880163273,16671.1119528837,3583.12554729918,8683,1866.23898964442,716857.813974,154074.398533865,0.0592302639242237,0.0155553064527062,0.0212844096981068
2018-11-05,92,214586968.360228,0,896.52930919,451.041923207021,0.000033513782599874,0.214586968360228,,-4.98085880848826,1000000000,123,123,1115412.502134,239352.987304031,9597.72882774797,2059.54753229,2915,625.521012770065,1180520.645813,253324.34647167,0.0589201019517643,0.015491213573086,0.0210564941246885
2018-11-06,79,214119626.656629,0,1064.67405301,449.681027102662,0.0000332444528844852,0.214119626656629,,-4.32655406751226,1000000000,89,89,939254.59832,201112.8439278,12957.8840294382,2774.5372906432,3837,821.577007481485,1153251.67862,246933.818867245,0.0587232664361869,0.0153015224120891,0.0201512773314483
2018-11-07,84,215071766.337895,0,496.27824441,448.456710261051,0.0000330834824902376,0.215071766337895,,-2.53965601962315,1000000000,127,127,2014998.665097,433369.322070912,17545.4078613937,3773.52185986873,3600,774.258358816422,2228266.798397,479237.276203329,0.0587072526212911,0.0150017890254352,0.0199940080257459
