date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-05-03,5646,4320,4002305,926.459490740741,11377719062.0988,0.178718042832909,0.06535651843132738131392126197,0.0626240203724422,154.11067046107,0,0,0,0,53.02509531,43.0598195306517,0.0000375046146967317,0.365696252014308,,115.797849134301,31112484745,2358,5745,586750189.938743,214572345.329282,481944.059835735,176245.136362488,99999.829018,36569.5626739542,2768768623.7563,1012528308.40249,,0.0853945058319196,0.0854834255708309
2018-05-04,5322,4320,4020940,930.773148148148,11151818721.9648,0.177816185152057,0.06373563149647654272211151695,0.0613806439605724,142.512872026122,0,0,0,0,67.60558861,42.5668209743222,0.0000369649056442347,0.358435490233771,,136.249725507715,31112484745,2236,5488,460205811.185608,164954095.540744,408127.586058175,146287.411386687,516780.949262,185232.632892199,2239804192.287262,802825313.69014,,0.0852350770204625,0.0851196752392792
2018-05-05,4963,4320,3821493,884.604861111111,11294359724.3085,0.176618022512382,0.06411533814802225092094479819,0.0621652028502725,142.400166026757,0,0,0,0,44.35983004,42.9363383637592,0.000037057953630154,0.363016963025545,,145.842855526206,31112484745,2221,5172,701366184.626421,254607822.311897,824183.294004996,299192.516366083,275698.748762,100083.322485524,4262675996.593838,1547423694.64538,,0.084407006927772,0.0831059603827909
2018-05-06,3775,4320,3708518,858.453240740741,10672043297.557,0.1771665995086,0.0607707689158635156605052422,0.0587399155519763,98.9348117950255,0,0,0,0,90.47146977,40.6463044037359,0.0000357490061970266,0.343014818167877,,140.343925140464,31112484745,1628,3877,343892774.413032,117960317.484533,818611.761573755,280795.964546307,383452.756765,131529.977637718,3173757799.621449,1088645954.54603,,0.0860069225993454,0.0816449392657956
2018-05-07,4781,4320,4056991,939.118287037037,10251357461.1448,0.181016113140538,0.05964360922117936839980894568,0.0564244217130014,117.557553774944,0,0,0,0,58.61629293,40.2715490796974,0.0000352795104394596,0.329493370432018,,124.12931911331,31112484745,1971,4588,530782197.073703,174889215.079126,1835602.07484798,604818.714413666,222563.33583,73333.1436572198,8421742319.402534,2774908261.7299,,0.0867838541862497,0.0818858848936229
2018-05-08,5058,4319,3898750,902.697383653624,10080450298.6553,0.177529488947834,0.05751958432609317431612978725,0.0554837328484651,130.109299745623,0,0,0,0,50.21240064,39.8418452852778,0.000035170122488479,0.324000168462125,,108.30225115012,31112484745,2262,5339,619617551.637541,200756191.112653,1267570.37742445,410693.015823122,281011.869163,91047.8929486686,6767558245.069145,2192690011.47965,,0.0864781706007055,0.0814633987530572
2018-05-09,4670,4320,3959861,916.634490740741,9883717584.15292,0.176783688317546,0.05616009338811613251055291542,0.0544008977517572,124.506927041454,0,0,0,0,26.06873768,38.980184283379,0.0000341843808262877,0.317676896112944,,110.782988997832,31112484745,2217,4998,1193478761.097725,379140628.402247,673545.717287337,213969.912858008,228541.890541,72602.4784188491,3366381495.002109,1069421624.46432,,0.0868993797578549,0.0809397201320088
2018-05-10,4808,4320,3795529,878.594675925926,9166659682.71233,0.176782569029851,0.05208538184635581589646243762,0.0504541445947363,111.671058678587,0,0,0,0,55.99132541,37.095959022767,0.0000326006782188503,0.294629624018875,,90.1090165778937,31112484745,2144,4944,555666159.27416,163715711.586958,343691.659548238,101261.744431121,342801.546562,100999.490776651,1699211564.806491,500638064.467461,,0.0883776738187655,0.0816176229711561
2018-05-11,5786,4319,4248905,983.770548738134,8034801081.37486,0.177348935759376,0.0458003734674105983808428051,0.044224289935642,123.340405747737,0,0,0,0,49.45774047,32.9669255154779,0.0000306719080196298,0.258250060939479,,55.3971040211792,31112484745,2693,6362,629072101.804875,162457908.626435,307865.012027775,79506.1581173064,404464.315368,104452.934091631,1958637206.520706,505818177.942303,,0.07913027559779,0.0835417414059387
2018-05-12,4396,4320,3880047,898.159027777778,8257667058.27807,0.176837808333333,0.04693510519975203219948535923,0.0454509649310199,95.7476146074943,0,0,0,0,78.73452869,34.2531179745488,0.0000312774361301584,0.26541329392231,,22.3502037988575,31112484745,2040,4728,395156804.291123,104879869.042721,1000742.6656004,265610.407245596,282021.283219,74852.1977353515,4731511322.958703,1255806005.45718,,0.0779380687181654,0.0821347703605139
