date,AdrActCnt,CapMrktCurUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-12-21,1076,228977602.527008,3188436.63211124,7.4796688,,0.000260736908372178,1.00099118214609,,0.0964941665266055,228750868.75,1710,1726,30583021.120266,30613334.4647739,26234.1257910794,26260.1285881818,390.42,390.806977333476,45280101.115403,45324981.9432017,,0.00133189508690248,0.00142435133675654
2018-12-22,680,228895599.651654,0,14.71226182,,0.000252369810746514,1.00063270099233,,-0.0177386967618508,228750868.75,925,932,15548314.154041,15558151.5878353,22074.3781767157,22088.3446576931,256.532222,256.694530191424,20573320.460699,20586337.22097,,0.0013092430070539,0.00141923609615915
2018-12-23,728,228586252.052109,0,10.07980675,,0.000253452895700341,0.999280366895257,,-0.0203473908575286,228750868.75,998,1009,22693973.635873,22677642.3011665,25625.2369198117,25606.7961510073,230,229.834484385909,25855864.05209,25837257.3163664,,0.00113289229845427,0.00141632063975721
2018-12-24,977,228423988.070333,124369.629031731,13.96302856,,0.000247601838111202,1.00032276355757,,-0.281993757026559,228350284.92,1454,1450,16353922.355965,16359200.8061248,15637.6511991152,15642.6984630482,490.459852,490.618154566677,22674594.238717,22681912.7714199,,0.000964716784560912,0.00138896254169289
2018-12-25,700,228653844.210688,0,41.89457094,,0.000266198855369721,1.0013293580553,,0.156967694216616,228350284.92,1001,1041,5450593.712163,5457839.50282043,7384.73935703074,7394.5563197813,254.819177,255.15792292559,7687513.670669,7697733.12889233,,0.000963721007037117,0.00136128067842278
2018-12-26,759,230968158.723799,3014954.98320782,23.47506177,,0.000262478079722634,0.99942661664569,,-0.136528473142697,231100668,1047,1108,9844517.993037,9838873.31028859,13100.8574446652,13093.3456310792,259.834388,259.685403287043,14515750.048689,14507426.9592358,,0.00100541249645311,0.00138146153004131
2018-12-27,831,238163485.910964,7049113.31632762,5.47227751,19.2595881440017,0.000279067027365518,1.00058381350224,,0.0943511584908613,238024523.98,1202,1248,43496427.867773,43521821.6696614,50107.8847414415,50137.1384011222,301.147485,301.323298967909,62534640.157319,62571148.7246006,,0.00102814661132095,0.00138812197681799
2018-12-28,913,242196396.169153,4617963.36423532,13.29546189,19.2703673469183,0.000257424010947736,0.999076715169649,,-0.0721960097545341,242420219.08,1319,1364,18233305.544574,18216471.0101575,19777.6744783468,19759.4140515213,275.714551,275.459987937555,26976747.988465,26951840.766275,,0.00103505395183718,0.00139620501294837
2018-12-29,625,247228820.394839,4517653.75186891,11.77657093,19.313247351236,0.000261879140436578,1.00120017861577,,0.00780344740547676,246932457.34,846,888,20968111.928669,20993277.4082189,30693.7073807996,30730.5453120367,200,200.240035723154,27256012.15415,27288724.2370886,,0.00110018216851487,0.00142082064390332
2018-12-30,570,249678430.645055,2532324.87000072,54.27860619,19.4774716611634,0.000261650173227166,1.00091852532893,,0.0650330762026887,249449305.14,775,816,4595720.53639,4599941.82210736,7270.40724459926,7277.08529780507,159.22072,159.36696826421,5932652.311593,5938101.60300893,,0.00109296278832748,0.00142007245872708
2018-12-31,666,250773897.933534,1859890.68986115,15.96413068,19.305351303952,0.000270736452737274,0.998259432314006,,-0.130951071103439,251211147.94,961,1008,15735974.162637,15708584.6345019,21297.0390296101,21259.9700916678,319.394519,318.838591221145,21467415.341847,21430049.8524012,,0.00119555672640719,0.00146213304640565
2019-01-01,638,262721578.250402,11540841.8598414,12.47201103,19.8844451202775,0.000262565126522545,0.99987894028713,,-0.0346458372862373,262753387.1,893,933,21067443.455864,21064893.0372083,30735.6371188349,30731.9162714305,300.000031,299.963713082386,28676349.431873,28672877.8812446,,0.00123128422877826,0.00147549646778329
2019-01-02,835,287709655.436552,24999364.8171328,4.41920207,20.7119860369084,0.000256750416479901,1.0008638285697,,0.121461745076305,287461338.12,1197,1239,65048244.872671,65104435.4050009,76074.6840510387,76140.3995365529,360.592389,360.903879007635,94256533.539237,94337955.0257891,,0.00123758868006532,0.001468541792985
2019-01-03,904,287371925.222933,4900896.84571441,14.00966207,20.3895782168354,0.000264377960935263,1.00050895063294,,0.0133256001076131,287225741.5,1307,1361,20501974.991825,20512409.4849736,24864.3926538303,24877.0474022091,433.937111,434.1579635673,33840438.401863,33857661.5144066,,0.00123648410900931,0.00144952236193095
2019-01-04,891,291795356.985756,8281455.67014434,14.03094177,20.3698661755593,0.000261456063859155,1.00072951477312,,0.0800000733004658,291582643.14,1211,1250,20781402.120667,20796562.4605202,26690.1958606208,26709.6667527986,288.49,288.700457716897,33362744.825776,33387083.4409982,,0.00123636194140474,0.00144021830703478
2019-01-05,648,291266505.999579,7.99150262799604,30.34924229,20.182771147149,0.000262974295449371,0.998937828499505,,-0.123203282929022,291576209.94,878,918,9607363.740585,9597159.07262486,13140.665929939,13126.7082890907,192.33,192.12571255531,12063131.323684,12050318.2093853,,0.00123342065290792,0.00145904264699816
2019-01-06,612,302939746.802099,14293010.4770448,10.05413949,20.5157876719661,0.000247344373949175,1.00075379727602,,-0.118092032749944,302711563.65,797,813,30108152.359147,30130847.8023813,56289.6311966347,56332.0621672989,279.838556,280.049497541238,45763470.162864,45797966.542014,,0.00125631666293739,0.00147643061205556
2019-01-07,848,315272404.233509,12768811.3409893,11.13478817,20.9118938701763,0.000249909917315643,0.99989414708331,,-0.0622840416719901,315305780.27,1146,1179,28317178.139363,28314180.6834645,34634.6144276548,34630.9482526992,212.568026,212.545525054453,40834210.410205,40829887.9899324,,0.00126230425380627,0.00148089789085335
2019-01-08,972,325174844.583958,10118099.2046902,11.38358816,21.1256426456966,0.000250616363151207,1.00061660289012,,0.0663436094846649,324974464.39,1325,1383,28547630.126089,28565232.6773308,31135.7431783565,31154.9415675863,250.4432,250.597624000931,43060732.815667,43087284.1879718,,0.00125695752688741,0.00148163769230937
2019-01-09,1028,343134814.968801,18217283.665223,6.03500068,21.4191545318627,0.00024981797543649,1.00033588540977,,-0.0563876664126411,343019599.69,1412,1465,56838369.723634,56857460.9027393,56909.7371254041,56928.8522757784,249.988501,250.072468490096,83372764.888717,83400768.5840153,,0.00125695365909483,0.00148162920508349
2019-01-10,1219,356009601.191445,12862652.6964502,6.50707928,21.4286789399625,0.000275753330042256,1.00040645741735,,-0.0212381286051183,355864957.24,1765,1803,54688892.193144,54711120.8990226,41913.3310145092,41930.3669987858,233.45,233.54488748408,75569735.81916,75600451.6988109,,0.00124230363466014,0.00148137951792539
2019-01-11,1028,359870741.222846,13700091.6655062,6.38965335,20.8753356371102,0.000276280804317228,1.00128623239664,,-0.0324763607297219,359408458.42,1449,1461,56248506.581581,56320855.2330088,66290.3450546509,66375.6098440447,297.64,298.022834210536,96850194.124845,96974765.9821493,,0.00121794930207732,0.00148328679670981
2019-01-12,679,361341816.241843,9556783.47750922,10.9110427,20.5243455732426,0.000276377509587791,0.999663554129244,,-0.0382240416326432,361463429.12,926,977,33128220.546313,33117074.6933047,51583.7543514012,51566.3992102516,192.314091,192.249387718195,50397328.001319,50380372.0284158,,0.00125649610926618,0.00149797632637917
2019-01-13,679,369090444.556243,7292553.57693635,17.31781485,20.8484584491229,0.000285372514767692,1.00127801224555,,0.133298680026209,368619344.52,953,987,21285557.548003,21312760.7512027,33037.3695457994,33079.5917086397,314.975721,315.378263828489,32607883.741704,32649557.0164274,,0.0012913157949572,0.0014372554861023
2019-01-14,819,361138165.62231,12763997.426237,4.75624278,19.4762231849692,0.000272527066706249,0.999341817424269,,-0.0399836461161361,361376017.02,956,982,75979304.158943,75929295.9048294,143128.699119451,143034.494303604,256.83,256.660958969075,140552382.535301,140459873.406139,,0.00133246531053632,0.00140247640187673
2019-01-15,873,357280725.659845,6135333.13177652,5.75569435,18.5823983570478,0.000279484474786355,1.00091579748971,,0.206841121781975,356953828.24,1153,1183,62017509.329113,62074304.8084747,86102.4764445342,86181.32887632,179.32,179.484220805855,101859229.633884,101952512.060687,,0.00131068714901964,0.0014172768490776
2019-01-16,842,353102154.478517,36198083.6639363,1.88498261,16.5737616550788,0.000277242899086082,1.00001141520797,,-0.086138293690319,353098123.79,1118,1168,187321687.216744,187323825.532761,282769.054232697,282772.282100258,165.321751,165.32363818217,330274255.34379,330278025.493102,,0.00131392797530179,0.0014218143655598
2019-01-17,888,364390794.16066,40936700.1956507,1.25029845,14.8510933799789,0.000275020492499938,1.00111010626796,,-0.0466838318743815,363986730.21,1185,1214,291119875.649857,291443049.648544,370568.435129002,370979.805471546,250.00103,250.278557710399,449870080.246608,450369483.842457,,0.00132535821009308,0.00137414103655356
2019-01-18,898,348054487.716657,5169503.57264552,1.44816875,12.7958180328158,0.000276916366628038,0.999509337376234,,-0.139978618793284,348225348.88,1291,1325,240459096.974312,240341112.682882,265261.989424031,265131.835280315,262.684158,262.555268701814,351472135.986841,351299681.746417,,0.00135706225245673,0.00132399191828714
2019-01-19,694,348334490.297022,0,25.88133776,12.7363134242879,0.000271289250053283,1.000325383756,,-0.0203621192303908,348221184.78,885,914,13454528.04652,13458905.931391,22220.8534517746,22228.0837565323,190.384402,190.446349991807,20309860.054922,20316468.5534705,,0.00136327800447515,0.00132832695324507
2019-01-20,597,348079094.302647,0,35.54999125,12.7441772699157,0.000282509266127659,0.999606413205404,,-0.13833977415436,348216147.58,779,805,9795112.047581,9791256.82082748,17481.6266713578,17474.7461339519,195.032642,194.955879727594,14072709.470443,14067170.6378312,,0.00136808471624215,0.00132754631620275
2019-01-21,542,348174849.827001,0,7.60806404,13.0233232785607,0.000283009558895758,1.00061521688719,,-0.0017473049923883,347960778.48,692,695,45735784.62685,45763922.0539013,84061.8545656317,84113.5708381289,249.975683,250.129472261568,58422988.923114,58458931.7324996,,0.00135712033384709,0.00132274032886763
