date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-02-16,3321,4731,7691324,1625.72902134855,780934021.295135,,0.000580289063508939,0,10.8374785500928,0,0,0,0,8.99933594,13.7248590146287,0.00217849800019355,7.80934021295135,-93.8857766410682,1.1347571914588,100000000,18676,5943,11111931,86776849.6018407,2228.7464243648,17405.0390762636,34,265.517567240346,13245440,103438147.230234,0.0573294067303511,0.0315602809621486,0.0554546500969872
2019-02-17,5142,4333,12004299,2770.43595661205,828887171.50967,,0.0460800439337125,0,1362.67905920798,0,0,0,0,47.56504996,14.7437012718377,0.00228800075013858,8.2888717150967,-93.9032871987108,9.9146347297978,100000000,29572,10146,2102384,17426391.2718719,598.525625862409,4961.10213097147,45,372.999227179352,6072641,50335342.2208365,0.0573059532085532,0.0319472920624386,0.0549173447906468
2019-02-18,4294,3953,8112105,2052.13888186188,870875217.547012,,0.000978255609178565,0,20.3349993479944,0,0,0,0,39.06520099,15.6177525810117,0.00225257659182624,8.70875217547012,-93.0776613728543,9.48233064684651,100000000,20787,7616,2559823,22292864.1200684,600.546612394958,5230.0116171658,39,339.641334843335,4573763,39831768.4763347,0.0572382672685892,0.0305846042184607,0.0547147422325299
2019-02-19,3700,4452,8027507,1803.12376460018,886910738.994178,,0.000788447896354755,0,15.9313781937437,0,0,0,0,29.84445666,15.9533578486615,0.00227679499454258,8.86910738994178,-93.4879397282513,18.8383141202427,100000000,20206,6148,3350706,29717771.3461223,711.256018217306,6308.20600731168,34,301.549651258021,4372802,38782850.5329522,0.0572555513682037,0.030626673874183,0.0546198531742348
2019-02-20,3613,4484,17452944,3892.27118644068,902822619.016366,,0.000642982144271271,0,15.7729949811184,0,0,0,0,49.7657526,16.5517385853022,0.00229631560542945,9.02822619016366,-92.8063629252309,21.3993648057488,100000000,24531,6461,2009414,18141444.1016815,613.606562451633,5539.77883758212,34,306.959690465564,3964512,35792511.0696181,0.0572783403879681,0.0305620134620571,0.0537691192459107
2019-02-21,3234,4667,7896054,1691.89072209128,847171140.891671,,0.136182666246791,0,2481.6567270153,0,0,0,0,29.73179247,15.5151365767953,0.00217655231243264,8.47171140891671,-92.8387300454692,11.4596590074676,100000000,18223,5947,3363403,28493779.5678847,747.975449806625,6336.63215171639,35,296.509899312085,4448210,37683951.4062574,0.0574453884083855,0.0328764771954847,0.0527045110977657
2019-02-22,3349,4782,7383694,1544.05980761188,865401532.078566,,0.00077285743583391,0,13.4144865137692,0,0,0,0,13.1484538,15.6736005270693,0.00219183299187263,8.65401532078566,-92.2795349647254,16.1319752851028,100000000,17357,5758,7605457,65817741.3995765,1753.84977422716,15177.8428165183,35,302.890536227498,10098667,87394018.9375126,0.0561579389118181,0.0328332846049516,0.0507517338412719
2019-02-23,4617,4361,8155197,1870.02912176106,1006603497.39649,,0.00158095520817823,0,32.4680771103563,0,0,0,0,30.88494001,18.173412191127,0.00244906687782431,10.0660349739649,-91.5549223191647,31.9434619297827,100000000,20537,8734,3237824,32592049.6235429,722.401763224181,7271.72141386852,40,402.641398958596,6309457,63511214.8287277,0.0572187375735212,0.0424126028552288,0.0542434430565357
2019-02-24,5206,4885,9268546,1897.34820880246,904982372.734656,,0.00142945136037634,0,32.5657608920943,0,0,0,0,7.04451124,15.994162724722,0.00241059687906602,9.04982372734656,-92.1459789826864,20.5117967969699,100000000,22782,10464,14195449,128466311.180538,1720.16771788991,15567.2146283757,52,470.590833822021,17999835,162895333.871323,0.0574830673846826,0.0474937061372625,0.0532711948710888
2019-02-25,3434,4611,7706743,1671.38212968987,914980222.260964,,0.000943809125561287,0,17.0867204091608,0,0,0,0,7.97140879,15.9295334298202,0.0023939710788398,9.14980222260964,-92.1989535551053,23.2845803922305,100000000,18104,6372,12544834,114782750.015469,2279.27024482109,20854.871951992,46,420.890902240043,14523510,132887244.078093,0.0574771590118276,0.0473111657245594,0.0502757260581217
2019-02-26,2963,4143,6740818,1627.03789524499,900356775.436626,,0.00067637812700363,0,11.2589903021025,0,0,0,0,65.88834956,15.7412300779549,0.00237174724352372,9.00356775436626,-93.264132243339,23.1517691827893,100000000,16646,5439,1517719,13664885.848589,453.803272660416,4085.8485125512,35,315.124871402819,2468236,22222930.059766,0.0573982113333758,0.0460052698746408,0.0502981921197555
2019-02-27,3086,4730,7226368,1527.7733615222,882627796.59149,,0.000694280433102541,0,11.6208658892704,0,0,0,0,53.67738389,15.4583480553798,0.00232308253909858,8.8262779659149,-93.7431205795564,27.5456025132665,100000000,16738,5206,1862982,16443196.9774961,778.164041490588,6868.29213327566,34,300.093450841107,4051122,35756328.8458331,0.0567575655580732,0.0463133366958435,0.0503795887199282
2019-02-28,2935,4788,7185525,1500.73621553885,877021550.423714,,0.000731848265845805,0,12.3360343690966,0,0,0,0,9.18753186,15.1974792474892,0.00231224265262798,8.77021550423714,-93.2842807862827,26.1844377943042,100000000,16856,5156,10884316,95457796.9362164,2641.5546935609,23167.0039287582,30,263.106465127114,13619856,119449072.256677,0.0567396149958937,0.046390774955575,0.049289456838613
2019-03-01,3150,4435,7121365,1605.71927846674,891145836.280236,,0.000733720870109709,0,12.7080454703,0,0,0,0,4.29196504,15.0117300203562,0.00233857710299935,8.91145836280236,-93.0472175659166,26.9368318835166,100000000,17320,5736,23299351,207631196.316818,4433.13790097629,39505.7238211113,34,302.98958433528,25428479,226604831.837894,0.0566576483944897,0.0458684376783134,0.0488961645987666
2019-03-02,3122,4301,6877192,1598.97512206464,867375588.003191,,0.000791365726768101,0,13.537893487822,0,0,0,0,71.94544808,14.6748849002139,0.00227678944977484,8.67375588003191,-92.9671564234233,27.1922603931144,100000000,17107,5412,1389942,12056017.5954033,598.537509238729,5191.56824017908,30,260.212676400957,3239285,28096767.3158492,0.0564780508484816,0.0463211447167406,0.048928940969114
2019-03-03,3073,4091,7042268,1721.40503544366,856323722.549523,,0.000777485106432449,0,13.0640822433844,0,0,0,0,110.70678533,14.6115049897251,0.00226398008430763,8.56323722549523,-92.9314869453474,23.3347112255458,100000000,16803,5309,903287,7735060.86370591,427.996044452816,3665.03166022307,34,291.150065666838,2272231,19457653.0841243,0.0544865340911161,0.0463218456878986,0.0484096836556203
